drivername,championshipposition,yearofseason,racingseries,points,sprintwins,featurewins,podiums,pointsfinishes,totalwins,promoted,team,constructorschampionshipstanding,numberofraces,polepositions,dnsdnfdsq,nationality,dnf_rate,win_rate,nat_id,pole_rate,podium_rate,points_per_race,rev_championship_pos,rev_const_champ,constructorsstandings,points_finish_rate,post_formalization,z_rev,z_points,z_pole,z_dnf,perf_index,driver_id,team_id,const_champ
Jérôme d'Ambrosio,12,2010,GP2 Series,21,,,2,9,1,1,DAMS,,18,1,5,Belgium,.27777779,.055555556,3,.055555556,.11111111,1.1666666,-12,-6,6,.5,0,.41140318,.54285359,.83513528,.51228374,1.2771083,185,9,6
Giacomo Ricci,13,2010,GP2 Series,16,,,2,4,1,0,DPR,,14,0,5,Italy,.35714287,.071428575,19,0,.14285715,1.1428572,-13,-8,8,.2857143,0,.30043527,-.2566658,-.38801068,1.0413852,-1.3856263,165,39,8
Romain Grosjean,14,2010,GP2 Series,14,,,2,4,0,0,DAMS,,8,0,2,France,.25,0,14,0,.25,1.75,-14,-6,6,.5,0,.1894674,.54285359,-.38801068,.32709813,.017212182,236,9,6
Ãlvaro Parente,15,2010,GP2 Series,13,,,2,3,0,0,Scuderia Coloni,,4,0,0,Portugal,0,0,28,0,.5,3.25,-15,-10,10,.75,0,.078499503,1.4756262,-.38801068,-1.3395715,2.5056865,259,49,10
Michael Herck,16,2010,GP2 Series,12,,,1,8,0,0,DPR,,20,0,5,Romania,.25,0,29,0,.050000001,.60000002,-16,-8,8,.40000001,0,-.032468382,.16974452,-.38801068,.32709813,-.5778327,205,39,8
Marcus Ericsson,17,2010,GP2 Series,11,,,1,6,1,0,Super Nova Racing,,20,0,6,Sweden,.30000001,.050000001,34,0,.050000001,.55000001,-17,-9,9,.30000001,0,-.14343627,-.20336452,-.38801068,.66043216,-1.3952436,200,51,9
Adrian Zaugg,18,2010,GP2 Series,9,,,1,6,0,0,Trident,,19,0,4,South Africa,.21052632,0,32,0,.052631579,.47368422,-18,-11,11,.31578946,0,-.25440416,-.14445265,-.38801068,.06393978,-.85080725,125,28,11
Fabio Leimer,19,2010,GP2 Series,8,,,1,2,1,0,Ocean Racing Technology,,19,0,9,Switzerland,.47368422,.052631579,35,0,.052631579,.42105263,-19,-12,12,.10526316,0,-.36537206,-.92994535,-.38801068,1.818329,-3.501657,157,46,12
Luca Filippi,20,2010,GP2 Series,5,,,0,5,0,0,Super Nova Racing,,10,0,2,Italy,.2,0,19,0,0,.5,-20,-9,9,.5,0,-.47633994,.54285359,-.38801068,-.0062357713,-.31526124,193,51,9
Rodolfo González,21,2010,GP2 Series,4,,,0,4,0,0,Arden International,,20,0,7,Venezuela,.34999999,0,39,0,0,.2,-21,-7,7,.2,0,-.58730781,-.57647359,-.38801068,.99376595,-2.545558,234,33,7
Alberto Valerio,22,2010,GP2 Series,4,,,0,2,0,0,Scuderia Coloni,,14,0,5,Brazil,.35714287,0,4,0,0,.2857143,-22,-10,10,.14285715,0,-.69827574,-.78967881,-.38801068,1.0413852,-2.9173503,127,49,10
Johnny Cecotto Jr.,23,2010,GP2 Series,3,,,0,3,0,0,Trident,,16,0,5,Venezuela,.3125,0,39,0,0,.1875,-23,-11,11,.1875,0,-.80924362,-.62311226,-.38801068,.74376553,-2.5641322,178,28,11
Josef Král,24,2010,GP2 Series,3,,,0,3,0,0,Super Nova Racing,,10,0,2,Czech Republic,.2,0,11,0,0,.30000001,-24,-9,9,.30000001,0,-.92021149,-.20336452,-.38801068,-.0062357713,-1.5053509,182,51,9
Max Chilton,25,2010,GP2 Series,3,,,0,3,0,0,Ocean Racing Technology,,20,0,2,United Kingdom,.1,0,37,0,0,.15000001,-25,-12,12,.15000001,0,-1.0311794,-.76302814,-.38801068,-.67290366,-1.5093145,204,46,12
Edoardo Piscopo,26,2010,GP2 Series,2,,,0,1,0,0,Trident,,2,0,1,Italy,.5,0,19,0,0,1,-26,-11,11,.5,0,-1.1421473,.54285359,-.38801068,1.9937677,-2.9810722,154,28,11
Brendon Hartley,27,2010,GP2 Series,1,,,0,2,0,0,Scuderia Coloni,,4,0,2,New Zealand,.5,0,25,0,0,.25,-27,-10,10,.5,0,-1.2531152,.54285359,-.38801068,1.9937677,-3.0920401,139,49,10
Ho-Pin Tung,28,2010,GP2 Series,0,,,0,2,0,0,DAMS,,15,0,7,China,.46666667,0,7,0,0,0,-28,-6,6,.13333334,0,-1.3640831,-.82521296,-.38801068,1.7715452,-4.3488517,171,9,6
Vladimir Arabadzhiev,29,2010,GP2 Series,0,,,0,1,0,0,Scuderia Coloni,,16,0,5,Bulgaria,.3125,0,5,0,0,0,-29,-10,10,.0625,0,-1.4750509,-1.0894986,-.38801068,.74376553,-3.6963258,256,49,10
Fabrizio Crestani,30,2010,GP2 Series,0,,,0,1,0,0,DPR,,6,0,1,Italy,.16666667,0,19,0,0,0,-30,-8,8,.16666667,0,-1.5860188,-.70084327,-.38801068,-.22845837,-2.4464145,159,39,8
James Jakes,31,2010,GP2 Series,0,,,0,0,0,0,Scuderia Coloni,,2,0,0,United Kingdom,0,0,37,0,0,0,-31,-10,10,0,0,-1.6969867,-1.3226918,-.38801068,-1.3395715,-2.0681176,174,49,10
Federico Leo,32,2010,GP2 Series,0,,,0,0,0,0,Trident,,2,0,1,Italy,.5,0,19,0,0,0,-32,-11,11,0,0,-1.8079547,-1.3226918,-.38801068,1.9937677,-5.5124249,162,28,11
Nico Hülkenberg,1,2009,GP2 Series,100,,,10,17,5,1,ART Grand Prix,,20,3,1,Germany,.050000001,.25,16,.15000001,.5,5,-1,-1,1,.85000002,0,1.6320499,1.8487355,2.9144835,-1.0062375,7.4015064,215,2,1
Vitaly Petrov,2,2009,GP2 Series,75,,,7,15,2,1,Barwa Addax Team,,20,2,3,Russia,.15000001,.1,30,.1,.34999999,3.75,-2,-2,2,.75,0,1.521082,1.4756262,1.813652,-.33956969,5.14993,254,35,2
Lucas di Grassi,3,2009,GP2 Series,63,,,8,13,1,1,Racing Engineering,,20,1,5,Brazil,.25,.050000001,4,.050000001,.40000001,3.1500001,-3,-4,4,.64999998,0,1.4101142,1.1025171,.71282065,.32709813,2.8983538,195,22,4
Romain Grosjean,4,2009,GP2 Series,45,,,3,8,2,0,Barwa Addax Team,,12,3,3,France,.25,.16666667,14,.25,.25,3.75,-4,-2,2,.66666669,0,1.2991463,1.1647021,5.1161461,.32709813,7.2528963,236,35,2
Luca Filippi,5,2009,GP2 Series,40,,,4,8,1,0,Super Nova Racing,,19,0,9,Italy,.47368422,.052631579,19,0,.21052632,2.1052632,-5,-3,3,.42105263,0,1.1881784,.2482938,-.38801068,1.818329,-.76986742,193,51,3
Pastor Maldonado,6,2009,GP2 Series,36,,,2,12,2,0,ART Grand Prix,,19,0,6,Venezuela,.31578946,.10526316,39,0,.10526316,1.8947369,-6,-1,1,.63157892,0,1.0772105,1.0337864,-.38801068,.76569533,.95729095,222,2,1
Giedo van der Garde,7,2009,GP2 Series,34,,,3,9,3,0,iSport International,,19,0,4,Netherlands,.21052632,.15789473,24,0,.15789473,1.7894737,-7,-5,5,.47368422,0,.96624261,.44466701,-.38801068,.06393978,.95895916,168,56,5
Ãlvaro Parente,8,2009,GP2 Series,30,,,2,8,1,0,Ocean Racing Technology,,20,1,9,Portugal,.44999999,.050000001,28,.050000001,.1,1.5,-8,-9,9,.40000001,0,.85527474,.16974452,.71282065,1.6604338,.077406138,259,46,9
Jérôme d'Ambrosio,9,2009,GP2 Series,29,,,3,11,0,0,DAMS,,20,0,5,Belgium,.25,0,3,0,.15000001,1.45,-9,-6,6,.55000001,0,.74430686,.72940814,-.38801068,.32709813,.7586062,185,9,6
Javier Villa,10,2009,GP2 Series,27,,,3,14,0,0,Super Nova Racing,,20,0,3,Spain,.15000001,0,33,0,.15000001,1.35,-10,-3,3,.69999999,0,.63333893,1.2890717,-.38801068,-.33956969,1.8739696,176,51,3
Roldán Rodríguez,11,2009,GP2 Series,25,,,2,7,0,0,Piquet GP,,20,0,8,Spain,.40000001,0,33,0,.1,1.25,-11,-7,7,.34999999,0,.52237105,-.01681005,-.38801068,1.3270999,-1.2095495,235,47,7
Sergio Pérez,12,2009,GP2 Series,22,,,2,7,0,0,Arden International,,20,0,7,Mexico,.34999999,0,22,0,.1,1.1,-12,-8,8,.34999999,0,.41140318,-.01681005,-.38801068,.99376595,-.98718351,243,33,8
Andreas Zuber,13,2009,GP2 Series,21,,,3,7,0,0,Scuderia Coloni,,18,0,6,UAE,.33333334,0,36,0,.16666667,1.1666666,-13,-10,10,.3888889,0,.30043527,.12828797,-.38801068,.88265473,-.84194219,131,49,10
Edoardo Mortara,14,2009,GP2 Series,19,,,1,7,1,0,Arden International,,20,0,8,Italy,.40000001,.050000001,19,0,.050000001,.94999999,-14,-8,8,.34999999,0,.1894674,-.01681005,-.38801068,1.3270999,-1.5424533,153,33,8
Alberto Valerio,15,2009,GP2 Series,16,,,1,6,1,0,Piquet GP,,20,0,8,Brazil,.40000001,.050000001,4,0,.050000001,.80000001,-15,-7,7,.30000001,0,.078499503,-.20336452,-.38801068,1.3270999,-1.8399756,127,47,7
Kamui Kobayashi,16,2009,GP2 Series,13,,,1,8,0,1,DAMS,,19,0,4,Japan,.21052632,0,20,0,.052631579,.68421054,-16,-6,6,.42105263,0,-.032468382,.2482938,-.38801068,.06393978,-.23612504,186,9,6
Davide Valsecchi,17,2009,GP2 Series,12,,,1,9,0,0,Durango,,20,0,5,Italy,.25,0,19,0,.050000001,.60000002,-17,-11,11,.44999999,0,-.14343627,.35629898,-.38801068,.32709813,-.50224608,150,41,11
Karun Chandhok,18,2009,GP2 Series,10,,,1,6,0,1,Ocean Racing Technology,,19,0,8,India,.42105263,0,17,0,.052631579,.52631581,-18,-9,9,.31578946,0,-.25440416,-.14445265,-.38801068,1.4674511,-2.2543185,187,46,9
Luiz Razia,19,2009,GP2 Series,8,,,1,4,1,0,Scuderia Coloni,,18,0,7,Brazil,.3888889,.055555556,4,0,.055555556,.44444445,-19,-10,10,.22222222,0,-.36537206,-.49356049,-.38801068,1.2530258,-2.499969,196,49,10
Diego Nunes,20,2009,GP2 Series,8,,,1,6,0,0,iSport International,,20,0,5,Brazil,.25,0,4,0,.050000001,.40000001,-20,-5,5,.30000001,0,-.47633994,-.20336452,-.38801068,.32709813,-1.3948133,152,56,5
Dani Clos,21,2009,GP2 Series,4,,,1,5,0,0,Racing Engineering,,20,0,8,Spain,.40000001,0,33,0,.050000001,.2,-21,-4,4,.25,0,-.58730781,-.3899191,-.38801068,1.3270999,-2.6923375,146,22,4
Davide Rigon,22,2009,GP2 Series,3,,,0,10,0,0,Trident,,18,0,3,Italy,.16666667,0,19,0,0,.16666667,-22,-12,12,.55555558,0,-.69827574,.75013649,-.38801068,-.22845837,-.10769156,149,28,12
Michael Herck,23,2009,GP2 Series,0,,,0,3,0,0,DPR,,18,0,8,Romania,.44444445,0,29,0,0,0,-23,-13,13,.16666667,0,-.80924362,-.70084327,-.38801068,1.6233968,-3.5214944,205,39,13
Nelson Panciatici,24,2009,GP2 Series,0,,,0,0,0,0,Durango,,16,0,6,France,.375,0,14,0,0,0,-24,-11,11,0,0,-.92021149,-1.3226918,-.38801068,1.1604329,-3.791347,212,41,11
Stefano Coletti,25,2009,GP2 Series,0,,,0,0,0,0,Durango,,3,0,3,Monaco,1,0,23,0,0,0,-25,-11,11,0,0,-1.0311794,-1.3226918,-.38801068,5.327107,-8.0689888,245,41,11
Ricardo Teixeira,26,2009,GP2 Series,0,,,0,0,0,0,Trident,,20,0,6,Portugal,.30000001,0,28,0,0,0,-26,-12,12,0,0,-1.1421473,-1.3226918,-.38801068,.66043216,-3.5132818,229,28,12
Giacomo Ricci,27,2009,GP2 Series,0,,,0,0,0,0,DPR,,7,0,4,Italy,.5714286,0,19,0,0,0,-27,-13,13,0,0,-1.2531152,-1.3226918,-.38801068,2.4699593,-5.4337769,165,39,13
Franck Perera,28,2009,GP2 Series,0,,,0,0,0,0,DPR,,7,0,2,France,.2857143,0,14,0,0,0,-28,-13,13,0,0,-1.3640831,-1.3226918,-.38801068,.56519389,-3.6399794,164,39,13
Rodolfo González,29,2009,GP2 Series,0,,,0,0,0,0,Trident,,2,0,0,Venezuela,0,0,39,0,0,0,-29,-12,12,0,0,-1.4750509,-1.3226918,-.38801068,-1.3395715,-1.8461819,234,28,12
Johnny Cecotto Jr.,30,2009,GP2 Series,0,,,0,0,0,0,DPR,,3,0,2,Venezuela,.66666669,0,39,0,0,0,-30,-13,13,0,0,-1.5860188,-1.3226918,-.38801068,3.104881,-6.4016023,178,39,13
Giorgio Pantano,1,2008,GP2 Series,76,,,7,12,4,0,Racing Engineering,,18,4,6,Italy,.33333334,.22222222,19,.22222222,.3888889,4.2222223,-1,-4,4,.66666669,0,1.6320499,1.1647021,4.5045733,.88265473,6.4186707,169,22,4
Bruno Senna,2,2008,GP2 Series,64,,,6,14,2,1,iSport International,,20,3,4,Brazil,.2,.1,4,.15000001,.30000001,3.2,-2,-2,2,.69999999,0,1.521082,1.2890717,2.9144835,-.0062357713,5.7308731,140,56,2
Lucas di Grassi,3,2008,GP2 Series,63,,,6,11,3,0,Barwa International Campos Team,,14,0,2,Brazil,.14285715,.21428572,4,0,.42857143,4.5,-3,-1,1,.78571427,0,1.4101142,1.6088794,-.38801068,-.38718882,3.0181718,195,36,1
Romain Grosjean,4,2008,GP2 Series,62,,,6,13,2,0,ART Grand Prix,,20,1,4,France,.2,.1,14,.050000001,.30000001,3.0999999,-4,-5,5,.64999998,0,1.2991463,1.1025171,.71282065,-.0062357713,3.1207199,236,2,5
Pastor Maldonado,5,2008,GP2 Series,60,,,6,10,1,0,Piquet Sports,,20,2,8,Venezuela,.40000001,.050000001,39,.1,.30000001,3,-5,-3,3,.5,0,1.1881784,.54285359,1.813652,1.3270999,2.2175841,222,48,3
Sébastien Buemi,6,2008,GP2 Series,50,,,5,14,2,1,Trust Team Arden,,19,0,4,Switzerland,.21052632,.10526316,35,0,.2631579,2.6315789,-6,-6,6,.7368421,0,1.0772105,1.4265329,-.38801068,.06393978,2.0517929,249,53,6
Vitaly Petrov,7,2008,GP2 Series,39,,,3,10,1,0,Barwa International Campos Team,,20,0,8,Russia,.40000001,.050000001,30,0,.15000001,1.95,-7,-1,1,.5,0,.96624261,.54285359,-.38801068,1.3270999,-.20601439,254,36,1
Ãlvaro Parente,8,2008,GP2 Series,34,,,4,9,1,0,Super Nova Racing,,20,0,8,Portugal,.40000001,.050000001,28,0,.2,1.7,-8,-7,7,.44999999,0,.85527474,.35629898,-.38801068,1.3270999,-.50353688,259,51,7
Andreas Zuber,9,2008,GP2 Series,32,,,4,9,0,0,Piquet Sports,,19,0,8,UAE,.42105263,0,36,0,.21052632,1.6842105,-9,-3,3,.47368422,0,.74430686,.44466701,-.38801068,1.4674511,-.66648793,131,48,3
Karun Chandhok,10,2008,GP2 Series,31,,,3,10,1,0,iSport International,,19,0,7,India,.36842105,.052631579,17,0,.15789473,1.6315789,-10,-2,2,.52631581,0,.63333893,.64104027,-.38801068,1.1165732,-.2302047,187,56,2
Jérôme d'Ambrosio,11,2008,GP2 Series,21,,,2,12,0,0,DAMS,,20,0,6,Belgium,.30000001,0,3,0,.1,1.05,-11,-8,8,.60000002,0,.52237105,.91596276,-.38801068,.66043216,.38989097,185,9,8
Mike Conway,12,2008,GP2 Series,20,,,1,12,1,0,Trident,,20,0,6,United Kingdom,.30000001,.050000001,37,0,.050000001,1,-12,-9,9,.60000002,0,.41140318,.91596276,-.38801068,.66043216,.27892309,206,28,9
Roldán Rodríguez,13,2008,GP2 Series,14,,,1,5,0,0,Fisichella Motor Sport International,,20,0,9,Spain,.44999999,0,33,0,.050000001,.69999999,-13,-10,10,.25,0,.30043527,-.3899191,-.38801068,1.6604338,-2.1379282,235,42,10
Andy Soucek,14,2008,GP2 Series,14,,,1,7,0,0,Super Nova Racing,,18,0,5,Spain,.27777779,0,33,0,.055555556,.77777779,-14,-7,7,.3888889,0,.1894674,.12828797,-.38801068,.51228374,-.58253908,133,51,7
Davide Valsecchi,15,2008,GP2 Series,11,,,1,7,1,0,Durango,,13,0,3,Italy,.23076923,.07692308,19,0,.07692308,.84615386,-15,-11,11,.53846157,0,.078499503,.68635714,-.38801068,.19889279,.17795318,150,41,11
Kamui Kobayashi,16,2008,GP2 Series,10,,,1,8,1,0,DAMS,,20,0,8,Japan,.40000001,.050000001,20,0,.050000001,.5,-16,-8,8,.40000001,0,-.032468382,.16974452,-.38801068,1.3270999,-1.5778345,186,9,8
Javier Villa,17,2008,GP2 Series,8,,,0,8,0,0,Racing Engineering,,19,0,4,Spain,.21052632,0,33,0,0,.42105263,-17,-4,4,.42105263,0,-.14343627,.2482938,-.38801068,.06393978,-.34709293,176,22,4
Ho-Pin Tung,18,2008,GP2 Series,7,,,1,6,0,0,Trident,,20,0,8,China,.40000001,0,7,0,.050000001,.34999999,-18,-9,9,.30000001,0,-.25440416,-.20336452,-.38801068,1.3270999,-2.1728792,171,28,9
Luca Filippi,19,2008,GP2 Series,6,,,1,4,0,0,ART Grand Prix,,20,0,8,Italy,.40000001,0,19,0,.050000001,.30000001,-19,-5,5,.2,0,-.36537206,-.57647359,-.38801068,1.3270999,-2.6569562,193,2,5
Yelmer Buurman,20,2008,GP2 Series,5,,,1,4,0,0,Trust Team Arden,,10,0,2,Netherlands,.2,0,24,0,.1,.5,-20,-6,6,.40000001,0,-.47633994,.16974452,-.38801068,-.0062357713,-.68837035,257,53,6
Adrián Vallés,21,2008,GP2 Series,5,,,0,2,0,0,BCN Competicion,,18,0,5,Spain,.27777779,0,33,0,0,.27777779,-21,-12,12,.11111111,0,-.58730781,-.90812612,-.38801068,.51228374,-2.3957283,126,34,12
Diego Nunes,22,2008,GP2 Series,3,,,0,4,0,0,DPR,,20,0,5,Brazil,.25,0,4,0,0,.15000001,-22,-13,13,.2,0,-.69827574,-.57647359,-.38801068,.32709813,-1.9898582,152,39,13
Sakon Yamamoto,23,2008,GP2 Series,3,,,0,2,0,0,ART Grand Prix,,9,0,6,Japan,.66666669,0,20,0,0,.33333334,-23,-5,5,.22222222,0,-.80924362,-.49356049,-.38801068,3.104881,-4.7956958,237,2,5
Ben Hanley,24,2008,GP2 Series,1,,,0,2,0,0,Barwa International Campos Team,,8,0,3,United Kingdom,.375,0,37,0,0,.125,-24,-1,1,.25,0,-.92021149,-.3899191,-.38801068,1.1604329,-2.8585742,138,36,1
Adam Carroll,25,2008,GP2 Series,1,,,0,1,0,0,Fisichella Motor Sport International,,4,0,3,United Kingdom,.75,0,37,0,0,.25,-25,-10,10,.25,0,-1.0311794,-.3899191,-.38801068,3.6604373,-5.4695463,123,42,10
Alberto Valério,26,2008,GP2 Series,0,,,0,3,0,0,Durango,,19,0,6,Brazil,.31578946,0,4,0,0,0,-26,-11,11,.15789473,0,-1.1421473,-.73357219,-.38801068,.76569533,-3.0294256,128,41,11
Christian Bakkerud,27,2008,GP2 Series,0,,,0,1,0,0,Super Nova Racing,,3,0,2,Denmark,.66666669,0,12,0,0,0,-27,-7,7,.33333334,0,-1.2531152,-.078994833,-.38801068,3.104881,-4.8250017,143,51,7
Carlos Iaconelli,28,2008,GP2 Series,0,,,0,0,0,0,BCN Competicion,,13,0,4,Brazil,.30769232,0,4,0,0,0,-28,-12,12,0,0,-1.3640831,-1.3226918,-.38801068,.71171427,-3.7864997,141,34,12
Marko Asmer,29,2008,GP2 Series,0,,,0,0,0,0,Fisichella Motor Sport International,,13,0,4,Estonia,.30769232,0,13,0,0,0,-29,-10,10,0,0,-1.4750509,-1.3226918,-.38801068,.71171427,-3.8974676,201,42,10
Michael Herck,30,2008,GP2 Series,0,,,0,0,0,0,DPR,,13,0,4,Romania,.30769232,0,29,0,0,0,-30,-13,13,0,0,-1.5860188,-1.3226918,-.38801068,.71171427,-4.0084357,205,39,13
Giacomo Ricci,31,2008,GP2 Series,0,,,0,0,0,0,DPR,,4,0,2,Italy,.5,0,19,0,0,0,-31,-13,13,0,0,-1.6969867,-1.3226918,-.38801068,1.9937677,-5.4014568,165,39,13
Miloš Pavlovi?,32,2008,GP2 Series,0,,,0,0,0,0,BCN Competicion,,3,0,1,Serbia,.33333334,0,31,0,0,0,-32,-12,12,0,0,-1.8079547,-1.3226918,-.38801068,.88265473,-4.4013119,208,34,12
Paolo Maria Nocera,33,2008,GP2 Series,0,,,0,0,0,0,BCN Competicion,,2,0,1,Italy,.5,0,19,0,0,0,-33,-12,12,0,0,-1.9189225,-1.3226918,-.38801068,1.9937677,-5.6233926,221,34,12
Marcello Puglisi,34,2008,GP2 Series,0,,,0,0,0,0,Durango,,2,0,1,Italy,.5,0,19,0,0,0,-34,-11,11,0,0,-2.0298903,-1.3226918,-.38801068,1.9937677,-5.7343607,198,41,11
